XGB_MAE,XGB_RMSE,XGB_R2,MLP_MAE,MLP_RMSE,MLP_R2,Prophet_MAE,Prophet_RMSE,Prophet_R2,ARIMA_MAE,ARIMA_RMSE,ARIMA_R2,XGB_Accuracy,XGB_F1,MLP_Accuracy,MLP_F1,Symbol
0.04391853010096873,0.059635175661674415,-0.017809995991837857,0.046083871889254585,0.062189327913962464,-0.10686188540281671,0.34243614459717003,0.39277929660080435,-43.15286426656618,0.22804674715170264,0.28356398748863104,-22.01250287000269,0.4801223241590214,0.5893719806763285,0.5351681957186545,0.625615763546798,ADANIPORTS
0.03305743379487286,0.04343891417693532,-0.004046934810776115,0.03316155524559549,0.043397621470736766,-0.0021389631140071863,0.17036339065856937,0.19887602151937941,-20.045581971112355,0.31330823846628186,0.33572681433716633,-58.974709354379414,0.5779816513761468,0.7325581395348837,0.5259938837920489,0.6666666666666666,ASIANPAINT
0.055354610722152205,0.0804548413770242,-3.570037482014676e-05,0.05692545130680361,0.08625918285548505,-0.14953399134811596,0.27944277416602514,0.31608550562790494,-14.435485746205444,0.27282689281371664,0.33870040826524944,-16.72321796620159,0.5382262996941896,0.6998011928429424,0.5015290519877675,0.6182669789227166,AXISBANK
0.033795713373471585,0.048287971703576814,-0.000695713934260267,0.03493980164020232,0.05043587743354045,-0.09169990817481644,0.13722750831897898,0.17663697215000285,-12.390208380970497,0.15081807676151923,0.18017165409436542,-12.931473199310211,0.5626911314984709,0.7134268537074149,0.5718654434250765,0.6391752577319587,BAJAJ-AUTO
0.05005348519677832,0.07562910047468813,-0.0008304369828826541,0.056173785258821864,0.08585481803576706,-0.2897691320406306,0.24436349678333052,0.2974238612060988,-14.478691672595074,0.23311760361763362,0.26922187146595833,-11.682454483761168,0.5290519877675841,0.6695278969957081,0.4831804281345566,0.5927710843373494,BAJAJFINSV
0.056106867211241314,0.08103678052400876,-9.635117925932413e-05,0.05735369805421014,0.08099752265641304,0.0008723975747657597,0.36550011705019375,0.4869119553992419,-35.10591550215231,0.32960387782766226,0.3608942905053333,-18.835242206661707,0.5198776758409785,0.6841046277665996,0.5259938837920489,0.6750524109014675,BAJFINANCE
0.03773842088300673,0.04938491691552939,-0.0028943617754479956,0.039434597451092006,0.051008423473797734,-0.06991761234500005,0.6128327791837287,0.6156621468757416,-154.86601775002407,0.39350593287864055,0.3992007492506339,-64.5313674159139,0.5045871559633027,0.6680327868852459,0.4984709480122324,0.5519125683060109,BHARTIARTL
0.048182843779961515,0.06731851737753881,-0.0014084602152786285,0.04806872290634139,0.06731063155522543,-0.0011738600797688292,0.8307418412886542,0.8603686318605797,-162.57288262910296,0.11608800905184496,0.136492843436664,-3.116820518196427,0.5137614678899083,0.6721649484536083,0.5351681957186545,0.6545454545454545,BPCL
0.029961503356585772,0.04344028962093415,-1.793332093269484e-06,0.031009452650563943,0.045018285940779064,-0.07397275799226333,0.06279130706370684,0.0903587858465686,-3.3266934684812606,0.11624236299091951,0.13256196410492133,-8.312219731358878,0.5565749235474006,0.7151277013752456,0.4954128440366973,0.6357615894039735,BRITANNIA
0.03612393027631239,0.05837874243384583,-0.03150762641147287,0.03694702838340307,0.05808240286647261,-0.021062019662288156,0.4776908684395302,0.5071913751355458,-76.858618213285,0.27526553482315586,0.2923439398175745,-24.867303786160132,0.5504587155963303,0.7100591715976331,0.5626911314984709,0.5705705705705706,CIPLA
0.044217654287920446,0.056198946594385506,-0.010510579711038082,0.04877817623428515,0.06169465511044526,-0.21781016853682567,0.9349806928529286,0.9679215595573927,-298.7538994521299,0.7514330024952806,0.782495173179218,-194.90605042563027,0.4892966360856269,0.6178489702517163,0.4892966360856269,0.5187319884726225,COALINDIA
0.035084132326842425,0.051065195109307376,-0.023405377749243783,0.03495322544431526,0.050855250842873984,-0.015007625896971799,0.2674957707172001,0.2946508294678458,-33.073209190410935,0.37098071909548774,0.3919845019091097,-59.302524868310684,0.5504587155963303,0.7100591715976331,0.5351681957186545,0.696,DRREDDY
0.05734054436860405,0.12566407443096891,-0.02592577903664961,0.099790210177984,0.16656393708521658,-0.8024184511468226,4.299109222823419,5.88546275505074,-2249.3750310409146,4.4877538266169,6.095082282620815,-2412.53063041892,0.4709480122324159,0.6403326403326404,0.4923547400611621,0.6210045662100456,EICHERMOT
0.0503954811571648,0.06702443866015505,-1.7735820990516515e-05,0.05098364013306343,0.06845076324343088,-0.0430326941157233,3.6914691005715565,3.7839743499738745,-3186.4083013672475,2.4369088492101656,2.521447405621328,-1414.276055835502,0.5076452599388379,0.6596194503171248,0.45871559633027525,0.522911051212938,GAIL
0.04181412028044847,0.057313370509205826,-0.01769405889053366,0.040961599511270534,0.057070951248868955,-0.009103152959928806,3.2845790288921304,3.5057370565611445,-3806.711353670749,0.28412965983462724,0.344590210220941,-35.78842630542849,0.617737003058104,0.7637051039697542,0.6422018348623854,0.7322654462242563,GRASIM
0.03651468402815067,0.04905778976111878,-0.013656331293887325,0.03806105504379272,0.05126703061981668,-0.1070088928772499,0.6402882904961292,0.7576849072037011,-240.79763827032374,0.4044244542791019,0.5398813498394567,-121.76411349370758,0.5443425076452599,0.6739606126914661,0.5045871559633027,0.5597826086956522,HCLTECH
0.04043503990404387,0.05513991875533133,2.999399340453124e-06,0.041021192038088086,0.05574990516945957,-0.022244351757245928,0.20759053127608285,0.2502433741014471,-19.596414715531985,0.1564961022188003,0.17458781195400186,-9.02522891283798,0.48623853211009177,0.6283185840707964,0.5015290519877675,0.6337078651685393,HDFC
0.038121502456804304,0.052850255028902865,-0.00024158416132413763,0.038235898744375045,0.05302119511513607,-0.0067224571722348525,0.4746290272040605,0.5395745286639178,-103.2590135188631,0.8039440844437419,0.867823992798215,-268.6957093319149,0.4954128440366973,0.6625766871165644,0.5168195718654435,0.658008658008658,HDFCBANK
0.03995667905922721,0.052589404397468675,-0.0016279721154714988,0.044062583116413936,0.05777023466727043,-0.20869911281383224,0.568066098190955,0.6382382944280139,-146.52840829101584,0.20988244923920277,0.30975472145879757,-33.74927993555855,0.5565749235474006,0.6506024096385542,0.4954128440366973,0.49848024316109424,HEROMOTOCO
0.060739486463605975,0.07896376676543378,-0.011701518554507961,0.05935187011364088,0.07877081274869811,-0.006763219075053062,0.26668575132350836,0.3458202589092737,-18.40428081132576,0.3794358631167483,0.49536688550449537,-38.8153584883042,0.5351681957186545,0.6102564102564103,0.4954128440366973,0.43686006825938567,HINDALCO
0.02773388259161131,0.039624188557574616,-0.00016527398186205744,0.027993512520712676,0.039434432360146265,0.009391167648937881,0.3337763259013116,0.33672661827336375,-71.22805264465308,0.169358561774189,0.17657548440233056,-18.861489775265227,0.5290519877675841,0.692,0.5351681957186545,0.6363636363636364,HINDUNILVR
0.04802172520393899,0.06617035867165454,7.940712150600326e-06,0.04830315245795549,0.0666611577308845,-0.014881364281263076,0.8114300435886652,0.9001911733280582,-184.07129948958078,0.2043034590071942,0.25379048131513593,-13.710256066949743,0.5321100917431193,0.6845360824742268,0.46788990825688076,0.565,ICICIBANK
0.07863032545211736,0.11645646519883343,-0.004250918882208632,0.07855989470119842,0.11855290709139166,-0.04073328875577009,1.135503091522407,1.3892715587118096,-141.9187864539458,1.4140019862193294,1.690835608935417,-210.69850986844844,0.4954128440366973,0.6625766871165644,0.4801223241590214,0.5114942528735632,INDUSINDBK
0.035306809571146965,0.05157522057699323,-0.06029312756551897,0.036928361914129806,0.05355737485512864,-0.1433582287854831,0.8150361520536863,0.8402286988290674,-280.40951702494544,0.29731062670964925,0.3468259460996109,-46.947604869558965,0.5932721712538226,0.7291242362525459,0.6116207951070336,0.703962703962704,INFY
0.03888420342717499,0.050353294224091835,-0.01566570856218341,0.04065031090770889,0.054842696119697894,-0.20484896001071928,2.920028502919826,2.9626630156304445,-3515.086293431516,0.5267873854070789,0.5577928809737073,-123.63526672349295,0.4617737003058104,0.6317991631799164,0.5076452599388379,0.6298850574712643,IOC
